temp,x,pressure,viscosity
50,0,1000,0.5887
60,1,1,0.2065
60,0.83070696,1,0.2290
60,0.68561884,1,0.2982
60,0.55989088,1,0.3612
60,0.4498904,1,0.4297
60,0.35284005,1,0.4690
60,0.26658008,1,0.5198
60,0.18940568,1,0.5359
60,0.11995324,1,0.5463
60,0.057119,1,0.5367
60,0,1,0.5100
60,1,100,0.2118
60,0.83070696,100,0.2401
60,0.68561884,100,0.3090
60,0.55989088,100,0.3718
60,0.4498904,100,0.4343
60,0.35284005,100,0.4792
60,0.26658008,100,0.5241
60,0.18940568,100,0.5401
60,0.11995324,100,0.5562
60,0.057119,100,0.5380
60,0,100,0.5086
60,1,200,0.2229
60,0.83070696,200,0.2627
60,0.68561884,200,0.3313
60,0.55989088,200,0.3996
60,0.4498904,200,0.4561
60,0.35284005,200,0.4893
60,0.26658008,200,0.5254
60,0.18940568,200,0.5414
60,0.11995324,200,0.5603
60,0.057119,200,0.5422
60,0,200,0.5071
60,1,300,0.2340
60,0.83070696,300,0.2794
60,0.68561884,300,0.3449
60,0.55989088,300,0.4042
60,0.4498904,300,0.4634
60,0.35284005,300,0.4994
60,0.26658008,300,0.5325
60,0.18940568,300,0.5484
60,0.11995324,300,0.5644
60,0.057119,300,0.5406
60,0,300,0.5073
60,1,500,0.2588
60,0.83070696,500,0.2893
60,0.68561884,500,0.3573
60,0.55989088,500,0.4191
60,0.4498904,500,0.4807
60,0.35284005,500,0.5107
60,0.26658008,500,0.5464
60,0.18940568,500,0.5662
60,0.11995324,500,0.5724
60,0.057119,500,0.5431
60,0,500,0.5066
60,1,750,0.2771
60,0.83070696,750,0.3274
60,0.68561884,750,0.3947
60,0.55989088,750,0.4531
60,0.4498904,750,0.5113
60,0.35284005,750,0.5381
60,0.26658008,750,0.5707
60,0.18940568,750,0.5863
60,0.11995324,750,0.5851
60,0.057119,750,0.5447
60,0,750,0.5035
60,1,1000,0.3095
60,0.83070696,1000,0.3422
60,0.68561884,1000,0.4032
60,0.55989088,1000,0.4696
60,0.4498904,1000,0.5245
60,0.35284005,1000,0.5623
60,0.26658008,1000,0.5890
60,0.18940568,1000,0.5988
60,0.11995324,1000,0.5809
60,0.057119,1000,0.5463
60,0,1000,0.5015
70,1,1,0.1792
70,0.83070696,1,0.1984
70,0.68561884,1,0.2580
70,0.55989088,1,0.3122
70,0.4498904,1,0.3711
70,0.35284005,1,0.4048
70,0.26658008,1,0.4483
70,0.18940568,1,0.4619
70,0.11995324,1,0.4706
70,0.057119,1,0.4621
70,0,1,0.4389
70,1,100,0.1836
70,0.83070696,100,0.2078
70,0.68561884,100,0.2672
70,0.55989088,100,0.3211
70,0.4498904,100,0.3748
70,0.35284005,100,0.4132
70,0.26658008,100,0.4516
70,0.18940568,100,0.4652
70,0.11995324,100,0.4788
70,0.057119,100,0.4629
70,0,100,0.4373
70,1,200,0.1931
70,0.83070696,200,0.2272
70,0.68561884,200,0.2863
70,0.55989088,200,0.3449
70,0.4498904,200,0.3933
70,0.35284005,200,0.4216
70,0.26658008,200,0.4524
70,0.18940568,200,0.4659
70,0.11995324,200,0.4819
70,0.057119,200,0.4661
70,0,200,0.4357
70,1,300,0.2025
70,0.83070696,300,0.2415
70,0.68561884,300,0.2977
70,0.55989088,300,0.3486
70,0.4498904,300,0.3993
70,0.35284005,300,0.4299
70,0.26658008,300,0.4581
70,0.18940568,300,0.4715
70,0.11995324,300,0.4850
70,0.057119,300,0.4643
70,0,300,0.4356
70,1,500,0.2236
70,0.83070696,500,0.2497
70,0.68561884,500,0.3079
70,0.55989088,500,0.3608
70,0.4498904,500,0.4135
70,0.35284005,500,0.4390
70,0.26658008,500,0.4694
70,0.18940568,500,0.4861
70,0.11995324,500,0.4912
70,0.057119,500,0.4657
70,0,500,0.4343
70,1,750,0.2390
70,0.83070696,750,0.2820
70,0.68561884,750,0.3395
70,0.55989088,750,0.3893
70,0.4498904,750,0.4390
70,0.35284005,750,0.4617
70,0.26658008,750,0.4893
70,0.18940568,750,0.5024
70,0.11995324,750,0.5011
70,0.057119,750,0.4662
70,0,750,0.4307
70,1,1000,0.2663
70,0.83070696,1000,0.2941
70,0.68561884,1000,0.3461
70,0.55989088,1000,0.4027
70,0.4498904,1000,0.4494
70,0.35284005,1000,0.4815
70,0.26658008,1000,0.5039
70,0.18940568,1000,0.5121
70,0.11995324,1000,0.4964
70,0.057119,1000,0.4667
70,0,1000,0.4282
80,1,1,0.1557
80,0.83070696,1,0.1721
80,0.68561884,1,0.2236
80,0.55989088,1,0.2703
80,0.4498904,1,0.3210
80,0.35284005,1,0.3499
80,0.26658008,1,0.3873
80,0.18940568,1,0.3988
80,0.11995324,1,0.4061
80,0.057119,1,0.3985
80,0,1,0.3784
80,1,100,0.1594
80,0.83070696,100,0.1801
80,0.68561884,100,0.2314
80,0.55989088,100,0.2778
80,0.4498904,100,0.3239
80,0.35284005,100,0.3569
80,0.26658008,100,0.3898
80,0.18940568,100,0.4013
80,0.11995324,100,0.4128
80,0.057119,100,0.3989
80,0,100,0.3767
80,1,200,0.1675
80,0.83070696,200,0.1968
80,0.68561884,200,0.2477
80,0.55989088,200,0.2982
80,0.4498904,200,0.3397
80,0.35284005,200,0.3639
80,0.26658008,200,0.3902
80,0.18940568,200,0.4016
80,0.11995324,200,0.4152
80,0.057119,200,0.4013
80,0,200,0.3750
80,1,300,0.1755
80,0.83070696,300,0.2090
80,0.68561884,300,0.2574
80,0.55989088,300,0.3011
80,0.4498904,300,0.3446
80,0.35284005,300,0.3708
80,0.26658008,300,0.3948
80,0.18940568,300,0.4061
80,0.11995324,300,0.4175
80,0.057119,300,0.3995
80,0,300,0.3746
80,1,500,0.1935
80,0.83070696,500,0.2158
80,0.68561884,500,0.2658
80,0.55989088,500,0.3112
80,0.4498904,500,0.3563
80,0.35284005,500,0.3780
80,0.26658008,500,0.4039
80,0.18940568,500,0.4180
80,0.11995324,500,0.4221
80,0.057119,500,0.4001
80,0,500,0.3729
80,1,750,0.2064
80,0.83070696,750,0.2432
80,0.68561884,750,0.2925
80,0.55989088,750,0.3351
80,0.4498904,750,0.3775
80,0.35284005,750,0.3968
80,0.26658008,750,0.4202
80,0.18940568,750,0.4312
80,0.11995324,750,0.4298
80,0.057119,750,0.3998
80,0,750,0.3691
80,1,1000,0.2296
80,0.83070696,1000,0.2532
80,0.68561884,1000,0.2976
80,0.55989088,1000,0.3460
80,0.4498904,1000,0.3857
80,0.35284005,1000,0.4130
80,0.26658008,1000,0.4319
80,0.18940568,1000,0.4386
80,0.11995324,1000,0.4250
80,0.057119,1000,0.3994
80,0,1000,0.3662
15,1,1,0.4109
15,0.83070696,1,0.4586
15,0.68561884,1,0.6004
15,0.55989088,1,0.7308
15,0.4498904,1,0.8730
15,0.35284005,1,0.9565
15,0.26658008,1,1.0635
15,0.18940568,1,1.0998
15,0.11995324,1,1.1241
15,0.057119,1,1.1070
15,0,1,1.0542
15,1,100,0.4230
15,0.83070696,100,0.4825
15,0.68561884,100,0.6245
15,0.55989088,100,0.7550
15,0.4498904,100,0.8856
15,0.35284005,100,0.9809
15,0.26658008,100,1.0763
15,0.18940568,100,1.1126
15,0.11995324,100,1.1488
15,0.057119,100,1.1139
15,0,100,1.0552
15,1,200,0.4469
15,0.83070696,200,0.5300
15,0.68561884,200,0.6723
15,0.55989088,200,0.8147
15,0.4498904,200,0.9337
15,0.35284005,200,1.0055
15,0.26658008,200,1.0832
15,0.18940568,200,1.1195
15,0.11995324,200,1.1617
15,0.057119,200,1.1267
15,0,200,1.0561
15,1,300,0.4709
15,0.83070696,300,0.5659
15,0.68561884,300,0.7024
15,0.55989088,300,0.8272
15,0.4498904,300,0.9523
15,0.35284005,300,1.0300
15,0.26658008,300,1.1019
15,0.18940568,300,1.1383
15,0.11995324,300,1.1746
15,0.057119,300,1.1277
15,0,300,1.0606
15,1,500,0.5248
15,0.83070696,500,0.5905
15,0.68561884,500,0.7332
15,0.55989088,500,0.8642
15,0.4498904,500,0.9954
15,0.35284005,500,1.0615
15,0.26658008,500,1.1395
15,0.18940568,500,1.1842
15,0.11995324,500,1.2004
15,0.057119,500,1.1416
15,0,500,1.0673
15,1,750,0.5673
15,0.83070696,750,0.6747
15,0.68561884,750,0.8178
15,0.55989088,750,0.9433
15,0.4498904,750,1.0689
15,0.35284005,750,1.1293
15,0.26658008,750,1.2015
15,0.18940568,750,1.2381
15,0.11995324,750,1.2388
15,0.057119,750,1.1561
15,0,750,1.0708
15,1,1000,0.6396
15,0.83070696,1000,0.7118
15,0.68561884,1000,0.8434
15,0.55989088,1000,0.9870
15,0.4498904,1000,1.1070
15,0.35284005,1000,1.1914
15,0.26658008,1000,1.2519
15,0.18940568,1000,1.2766
15,0.11995324,1000,1.2416
15,0.057119,1000,1.1706
15,0,1000,1.0768
